"שם מפלגה","מספר מפלגה","מטרות","כתובת","דואר אלקטרוני","תאריך רישום",
"אח~י - ארץ חברה יהדות (שם קודם: ציונות לאומית דתית מתחדשת)","59-900067-6","מטרות המפלגה :1.איחוד הכוחות בציונות הדתית (העמדת אלטרנטיבה להנהגת המדינה).2.טיפול בשכבות מצוקה בעם ובעניינים חברתיים.3טיפוח מערכת החינוך בישראל. חיזוק החינוך הדתי-לאומי והתורני-לאומי בישראל.4.חיזוק ההתיישבות בכל ארץ ישראל ושקידה על בטחון המדינה.5.החזרת האמון בפוליטיקה הישראלית. שילוב ערכים יהודים ואוניברסליים במערכת הפוליטית.","רח' שמעיה 26/9, אלעד, אצל משפחת נתן.","shayna1@walla.com","",
"אחי ישראלי - החיבור הוא הסיפור","59-900115-3 ","מטרות המפלגה:מפלגת ~אחי ישראלי – החיבור הוא הסיפור~ הינה בית פוליטי חדש המבוסס על פוליטיקה של טוב משותף - מתינות, כבוד הדדי וחתירה להסכמות. המפלגה תרתום אנשי עשייה מצדדים שונים של החברה הישראלית למהלך פוליטי משותף. בראייתנו ~שונות היא כוח - והחיבור זה הסיפור~.לפעול לקידום אסטרטגיה חברתית-כלכלית-סביבתית משותפת, המבוססת על צמיחה מכלילה ותכליתה שוויון הזדמנויות, צמצום פערים וקיום בכבוד לכל אזרח ואזרחית. בראייתנו החינוך הוא ערך יסודי ומכשיר מרכזי לשינוי חברתי, ונתמקד בו. אנו רואים בקידום הנגב והגליל יעד מרכזי באסטרטגיה זו. נקדם תכנית לתיקון חברתי שתתעדף את הפריפריה החברתית והגאוגרפית בישראל.לפעול לקידום החיים המשותפים בישראל כמדינה יהודית, ציונית ודמוקרטית. לאפשר לקהילות השונות לשמר את זהותן מתוך הכרה באחר, כבוד הדדי והקפדה על ~אי כפייה~.לפעול על פי הערך ~בקש שלום ורדפהו~: לצד ביצור ביטחונה של ישראל, נפעל באופן יזום ומחדש לקידום הסכם שלום והסדרים לסיום הסכסוך עם שכנינו, תוך הבנת הצורך בפשרות משני הצדדים.לפעול למיגור השחיתות האישית והמוסדית בישראל.המפלגה רואה בשיתוף הציבור עקרון יסוד לדרך התנהלותה. תקנון המפלגה ודרך קבלת ההחלטות בה יבטאו גישה של ~מנהיגות משתפת~.","הברזל 11 רמת החייל, תל אביב.","mailto:connected.story.israel@gmail.com","",
"אחים אנחנו","59-900097-3","מטרות המפלגה:לפעול לקידום מדינת ישראל בתחומי: החברה, צדק משפטי, דמוקרטיה, שוויון עדתי ללא הפליה בין הגזעים, שמירת זכויות של אזרחיה באופן שוויוני, בטחון וכלכלה.  סגירת פערים חברתיים, כלכליים עם דגש על קידום אזרחים חלשים במיוחד.קידום חקיקת חוקים חברתיים וכלכליים שייטיבו עם האזרח החלשלרומם את השרות הצבאי בצה~ל ו/או השרות הלאומי כערך נעלה.לפעול לקידום זכויותיהם של חיילים/חיילות משוחררים ו/או בנות שרות לאומי משוחררות.לפעול לעליית שארית הפזורה מכל מקום בעולם.לפעול לקידום רווחתם של קשישים, לרבות ניצולי שואה וכן לאפשר לנכים לחיות בכבוד עם מוגבלותם.לחוקק חוקים שיסייעו לשכבה החלשה כלכלית לרכוש דיור ו/או לשכור מקום מגורים.לפעול לחיזוק ולבנות מערכת הסברה בין לאומית עבור מדינת ישראל.לחזק את המערכת החינוכית בארץ.","רח' אנוסי משהד 3/17, ארמון הנציב, ירושלים, אצל דוד אבבה"," ababa45@walla.com","",
"אחיעזר – מפלגה דתית מסורתית חברתית","59-900075-9","מטרות המפלגה :1.השרשרת ערכיה הנצחיים של מסורת ישראל ע~פ תורת ישראל, חיזוק וביצור החינוך היהודי ומורשתו בישראל ובגולה.2.טיפוח הזהות היהודית ופעולות לקירוב לבבות וליצירת גשר של הבנה וסובלנות בין כל חלקי החברה בדרכים חינוכיות ובפעולות דמוקרטיות.3לחנך לדרכי הגינות וניקיון כפיים, יושר ואמת בין אדם לזולתו, בין היחיד לציבור ובין הציבור יחיד.4.זכות של עם ישראל על פי תורת ישראל, לחיות בגבולות ארצו בשלום ובביטחון לנצח נצחים ולנקוט את האמצעים המותרים על פי החוק כדי להבטיח את שלומו ואחיזתו בארץ ישראל, למנוע ולהסיר כל איום מבית ומחוץ.5.אכלוס ופיתוח ירושלים בירת ישראל הנצחית, שמירה על אחדותה ועל קדושתה.6.תכנית כוללת למלחמה בעוני, לטיפוח ולטיפול אפקטיבי בשכבות החלשות ובמשפחות ברוכות ילדים, עידוד הילודה דרך הסברה בתקציב ממלכתי.","רח' כנפי נשרים 15, בית התאומים, ירושלים. מען למשלוח דואר: הקבלן 41/9 הר נוף, ירושלים","ravamsalem@gmail.com","",
"אחריות לאומית - למען עתיד ילדינו","59-900175-7","א. שמירה על הזהות היהודית של מדינת ישראל.ב. ביסוס ישראל כמדינה בעלת תודעה ציונית.ג. חיזוק מערכת החינוך.ד. חיזוק הזהות היהודית וערכי המשפחה.ה. הבטחת עתידה של ישראל כמדינה יהודית.","רחוב שיבת ציון 35, אפרתה 9043500 אצל דניאל קראוס","danielkrausz1@gmail.com","",
"אחריות – לב אחד ורוח חדשה","59-900082-5","מטרות המפלגה:לקדם בדרכי שכנוע והסברה מהפכה ערכית וחוקתית במדינה, שעיקריה יהיו: 1.חיזוק כוחו ואחריותו של האזרח 2.שיקום הקהילה והרחבת סמכויותיה כבסיס לארגון החברה. 3.בניית מערכת פוליטית יעילה הכפופה לערכים ומקימה מנהיגות ראויה. 4.טיפוח ערכי הכבוד, האחריות והבחירה בחברה. 5.חינוך לערכי היסוד הציוניים של המדינה. ","רח' המלך ג'ורג' 41 ירושלים מיקוד 9107601 אצל עו~ד יעקב חסדאי.","achrayut2009@gmail.com","",
"אחריות למייסדים","59-900125-2","מטרות המפלגה: המפלגה תפעל למען זכויות אזרחי מדינת ישראל הותיקים ולצימצום קו העוני בקרב אזרחי מדינת ישראל.המפלגה תפעל למען העלאת קצבאות הזקנה ומחיה בכבוד לאוכלוסיות מוחלשות.המפלגה תפעל לייצוג הולם לאוכלוסיות מבוגרות, הגנה צרכנית ומניעת ניצול.המפלגה תפעל בנושאים חברתיים, בריאות, סיעוד, נושא חברה ופנאי, פתרונות דיור, בקרב אוכלוסיית האזרחים המבוגרים, נכים, ניצולי שואה, גמלאים ואוכלוסיות מוחלשות.","רחוב כורש 7, עפולה, ת~ד 12011.","ameyasdim@gmail.com","",
"איחוד בני הברית – (איתיחאד אבנאא אלעהד) בראשות רב חובל בשארה שליאן","59-900135-1","מטרות המפלגה: המפלגה תפעל לשילוב בין מגזרי המיעוט והרוב במדינת ישראל. למען שוויון זכויות והזדמנויות ללא אפליה על רקע מין, גזע, דת, מעמד או השקפת עולם לפי רוח מגילת העצמאות.המפלגה תגן על חופש הפולחן הדתי ועל זכות בני אדם לחיות על פי אמונתם והשקפת עולמם תוך שמירה על זכות הדדית של האחרים ותפעל למען גישור והבנה בין כלל המגזרים והקהילות.המפלגה תפעל למען היושר והצדק החברתי בכל התחומים, דבר שיאפשר לכל האזרחים לחיות בכבוד ובביטחון.המפלגה תחתור לכך שהחינוך יהווה מטרה מועדפת ותעודד פעילויות ספורט ותרבות.המפלגה תפעל למען שילוב כל העדות, המגזרים והקהילות במרקם החיים במדינת ישראל תוך שמירה על הזהות וזכויות בחלוקה צודקת.","רחוב מגידו 34, ת~ד 4808, נצרת עלית 17501.","capt_bash@hotmail.com","",
"אלאמל לתע'ייר","59-900099-9","מטרות: חתירה לשלום עם שכנינו ומאבק על דמותה הדמוקרטית של ישראל.להעצים ולקדם את האוכלוסיה האזרחית במגזר הערבי במדינת ישראל תוך שימת דגש על החינוך, הרווחה, התחבורה, מערכת הבריאות הציבורית ודיור בר השגה.לפעול לשוויון הזכויות ולצדק חברתי במדינת ישראל בכלל ולאוכלוסיה האזרחית הערבית בישראל בפרט. ","רהט, שכונה 17 בית 97, ת~ד 616 מיקוד 85357","atef90@walla.co.il","",
"אלמסתקבל אלערבי - העתיד הערבי","59-900141-9","מטרות המפלגה: קידום ענייני האוכלוסייה הערבית במדינת ישראל והשגת שלום אזורי.השתתפות בכל פעילות פוליטית וחברתית לקידום מעמד החברה הערבית.קידום ושילוב מעמד האישה הערבית בחברה הישראלית וקידום ושילוב בעלי מוגבלויות בחברה הישראלית.טיפול וקידום בענייני חינוך, תרבות וספורט לחברה הערבית.","מענה של המפלגה: רח' דוד המלך 4 (בית גזית 1) רמלה, אצל עו~ד טארק חלילי","naefabuswiss@gmail.com","",
"אלתג'מוע אלווטני אלדמוקרטי","59-900026-2","מטרות המפלגה:1.חקיקת חוקה אשר תבטיח דמוקרטיה, פלורליזם פוליטי, צדק חברתי, שוויון, זכויות האדם והאזרח, חופש דת ואמונה ללא כפיה, וביטול כל סוג של אפליה.2.מדינת ישראל תהיה מדינה לכל אזרחיה.3.הכרה באזרחים הערביים כמיעוט לאומי הזכאי לניהול עצמי בעניינים תרבותיים המבדילים אותו משאר האזרחים.4.קידום ופיתוח כלכלי וחברתי של המיעוט הלאומי הערבי.5.קידום מעמד האשה, והבטחת שוויון בין נשים וגברים.6.שיתוף פעולה עם הכוחות היהודיים הדוגלים במטרות דומות.7.פיתרון השאלה הפלסטינית על ביס הקמת מדינה פלסטינית עצמאית בשטחים שנכבשו מאז 1967, ובירתה ירושלים המזרחית.8.הקמת סדר איזורי, דמוקרטי, על בסיס שוויון והסכמה בין המדינות והעמים באיזור, וכן סדר עולמי המבוסס על אותם העקרונות. ","נצרת 482 ב 12 רחוב 2013 - ת.ד. 50273 נצרת 16161","tajamoa48@gmail.com","",
"אנחנו ביחד לסדר חברתי חדש","59-900160-9","מטרות המפלגה:תיקון שיטת הבחירות - מהפכה בהתנהלות השלטונית, על ידי תיקון שיטת הבחירות, שמטרתה לייצר הכרעה, יציבות ומשילות.שינוי השיח הציבורי - מעבר לשיח ציבורי מכבד ומאחד.מהפכת החינוך - העלאת נושא החינוך לראש סדר העדיפות הלאומי.~מגילת העצמאות~ - חיזוק אופייה היהודי והדמוקרטי של מדינת ישראל, ברוח ~מגילת העצמאות~ הרחבת לימודי יהדות עם דגש על מוסר יהודי. יצירת חוקה מוסכמת, חיזוק הממשל, הפרדת רשויות.~מגילת העצמאים~ - מהפכה במעמד העצמאים במדינת ישראל, מתוך הבנה שהעצמאים הקטנים והבינוניים תופסים נתח הולך וגדל משוק העבודה. חקיקה מקיפה לשיפור מעמד העצמאים בישראל.טיפול בשחיתות הציבורית - קבלת מועמדים בהתאם לכישורים ולא בהתאם לקשרים. שינוי יסודי בהתנהלות רשויות השלטון. ","ת~ד 132, בקוע 9975500 אצל עו~ד מוש חוג'ה","mosh@mosh-law.com","",
"ארגון הפעולה הדמוקרטי – דע~ם","59-900020-5","מטרות המפלגה :1.השגתו של שלום צודק במזה~ת המבוסס על החלטות האו~ם והחוקיות הבינלאומית, אשר עיקרן קובע את הצורך לנסיגה ישראלית מהשטחים שנכבשו ב-1967 והכרה בזכותו של העם הפלסטיני להגדרה עצמית ולהקמת מדינתו העצמאית לצידה של מדינת ישראל.2.פעולה לקראת דמוקרטיזציה של מדינת ישראל והשגת שוויון מלא לאוכלוסיה הערבית.3.יזמה להקמתה של מסגרת איגוד מקצועית עצמאית שתגן על זכויותיהם ומעמדם של הפועלים בישראל.","העליה 45, תל אביב 6105101, ת.ד. 5134","erez@maan.org.il","",
"ארץ חדשה","59-900096-5","מטרות המפלגה:הפלת שלטון ההון בישראל.הצלת הדמוקרטיה הישראלית.השבת הכבוד האבוד לאזרחית ולאזרח בישראל כי כולם שווים בפני האל. "," רח' המסגר 56, תל אביב 6721422 אצל עו~ד גונן בן יצחק","Gonenb1@gmail.com ","",
"ארץ ישראל שלנו - מפלגה יהודית מאוחדת לשלמות התורה העם והארץ","59-900086-6","מטרות המפלגה :1.ארץ ישראל לגבולותיה המפורטים בתורה, שייכת לעם ישראל, אין אפשרות למסור אפילו שעל אחד ממנה לשלטון זר, בנוסף לזאת, מסירת חלקים מארץ ישראל לערבים, מעמידה בסכנה קיומית מיליוני יהודים. 2.לכן אין להצטרף או לתמוך בממשלה, המדברת עם אומות העולם על מסירת שטחים מארץ ישראל, וכ~ש על עקירת ישובים. 3.יש ליישב את כל חלקי הארץ, ולחתור למצב בו יוקמו מחדש גם הישובים שנעקרו בעבר. 4.תוקדש מלחמת חורמה בטרור, אין לשחרר מחבלים, ואין לסייע לאויב בשום דרך שהיא, כולל בכסף, חשמל, חומרי בניה וכדומה. 5.התורה הקדושה, ערכי המוסר והטהרה של היהדות, וחוקי המשפט העברי, יהיו הבסיס הערכי והמוסרי של העם היהודי היושב בציון, ערכים אלו ילמדו גם בכל בתי הספר היהודיים. 6.יתוקן חוק השבות באופן שיאמר בו, כי ~יהודי הוא מי שנולד לאם יהודיה או שנתגייר כהלכה~. 7.הממשלה תעודד משפחות ברוכות ילדים, ותסייע להם בקצבאות חודשיות, כפי שהיה נהוג בעבר, כמו~כ תונהג מדיניות רווחה אמיתית כלפי כל סוגי הנזקקים והחלשים. 8.הסיוע של הממשלה למוסדות וליחידים, ינתן לכל שכבות הציבור הנאמנים לעם ולארץ, בלי הבדל עדה או מקום מוצא, כולל לבני המיעוטים. 9.משרדי הממשלה ישוו בחוק ברור וקבוע, את גובה השתתפותם בחינוך ותרבות תורניים, לזה הניתן לחינוך ותרבות מסוג אחר.","אחד העם 28, תל אביב אצל עו~ד גיא בוסי","busy.adv@gmail.com","",
"בט~ח– ביטחון חברתי","59-900129-4","המשך חיזוק וביסוס מדינת ישראל כמדינה יהודית ודמוקרטית ושינוי סדר העדיפויות הלאומי למען הציבור בישראל, אך לא רק, בנושאים הבאים:חינוך.מדיניות רווחה.מאבק למען שיוויון נשיאה בנטל בין כל אזרחי ישראל.פיתוח תשתיות לאומיות.חוק, משפט ובטחון פנים, תוך ייעול מערכת אכיפת החוק.מערכת בריאות.ביטחון וחתירה לשלום.מאבק בשחיתות.","רוטשילד 55, ראשון לציון אצל עו~ד אלקריף.","sagrafman@gmail.com","",
"ביח~ד בראשות יום טוב סמיה (ביטחונית, יהודית-ישראלית, חברתית-חינוכית, דמוקרטית)","59-900130-2","מטרות המפלגה:ביח~ד הינה מפלגת מרכז לאומי-פרגמטי דמוקרטית. החזון הלאומי בו אנו דוגלים: מדינת ישראל הינה מדינה יהודית-דמוקרטית, המקדשת את החירות ואת שלטון החוק והמשפט; מדינה חד לאומית הכוללת רוב יהודי מוצק ביחד עם המיעוטים אשר קשרו גורלם עם המדינה, והשואפת לביטחון ושלום בגבולות בטוחים ומוגדרים; מדינה הדואגת לרווחת תושביה ומקפידה על שוויון הזכויות והחובות של כלל אזרחיה. מדינה המבחינה בתבונה בין דת ומדינה לצד שימורה כביתו היחיד של העם היהודי, תוך כבוד הדדי לאזרחיה שאינם יהודים, ברוח מגילת העצמאות.מפלגה אשר תפעל בכל תחומי הליבה בחיי החברה והמדינה – לא מפלגת נישה.בתחום החברתי תתמקד המפלגה בצמצום הפערים החברתיים על ידי הורדת יוקר המחייה, דרישה מכלל תושבי המדינה להשתתף בנטל השרות בצה~ל והשירות הלאומי/אזרחי. תכנית ~דור לדור~, בה מחד, נדאג לצעירים הכמהים למימוש עצמי בישראל כמדינה שטוב לחיות בה בכל גיל, ומאידך נפעל לשיפור חיי האזרחים הוותיקים הגמלאים והקשישים, לחיים בכבוד. נעמוד על רפורמה בתחום הרפואה הציבורית – מערכת בריאות שתהיה טובה לנחלת הכלל ולא רק לבעלי ממון.בתחום החוסן הביטחוני לאומי נציג באומץ את האמת והעקרונות בנוגע לסוגיה הפלסטינית (תכנית ~6 העקרונות~ אשר תתפרסם במצע המפלגה) ונייצר הרתעה כלפי האויבים מהחוץ, לצד התמקדות בנושאי פנים חברתיים, שהם המנוע העיקרי לאופטימיות אשר לה זקוקים תושבים במדינה.בתחום החינוך נדאג להשכלה גבוהה נגישה, לחינוך חינם באמת (ללא הטעיות) ולתקציבי מו~פ כאחוז קבוע מהתל~ג.כשירות לציבור, ניאבק בשחיתות ובכלכלה השחורה ונצמצם את הביורוקרטיה, צעדים אשר יהיו מקור כספי למימון השינויים שנבצע בהפחתת יוקר המחייה (דיור ומוצרי בסיס לקיום) ובקביעת שכר מינימום גבוהה יותר מהקיים.בתחום איכות הסביבה והקיימות, נגיע לייצור אנרגיה ש-50% ממנו יתבסס על מקורות של אנרגיות מתחדשות ואלטרנטיביות. נעמוד על החקלאות כערך ולא רק כ~מחיר העגבנייה על השולחן~.חתירה לאחדות לאומית: מיד עם ההכרזה על יסודה של המפלגה, תצא קריאה אל כל מפלגות המרכז הציוניות לשם חבירה והתמזגות על בסיס דמוקרטי, נטול אגו. תחילה נפנה אל אותם גורמים רלוונטיים שאינם מיוצגים כיום בכנסת ה- 20, ובהמשך אל מפלגות נוספות על מנת להקים גוש לאומי במרכז המפה הפוליטית, אשר יאפשר הקמת קואליציה ללא מפלגות קיצוניות מימין או משמאל.","רחוב בר כוכבא 23, בני ברק משרד עו~ד יורם כהן","mailto:yoram@ylc-law.co.il","",
"ברית עולם","59-900072-6","מטרות המפלגה :1.ללכת ביושר, באומץ ובראש מורם אל עבר העתיד.2.לכבד את מקומו של האדם באשר הוא, ללא הבדל דת, גזע או מין3ללמוד וללמד את הדומה בין בני האדם לשם יצירת מורשת ראויה עבור ילדינו.4.לבנות ולבסס כלכלה מתקנת אשר מתקדמת באדם, בבריאותו, באושרו, בהשכלתו, בפרנסתו וברווחתו.5.לממש העדפה מתקנת ושוויון הזדמנויות ממשי לנשים ולכל הקהילות הסובלות מאפליה.6.לפתח אורח חיים כלכלי – תעשייתי,חקלאי,אורבאני וכפרי המקפיד על איכות הסביבה ופועל להשבחתה.7.לעצב תפיסה שמקדשת את השלום, האחריות החברתית, העצמיות האישית והחופש של כל אחת ואחד מאיתנו.8.ברית עולם מאמינה באנשים, אי לכך נעשה ככל שביכולתנו לפתח את ההון האנושי במדינת ישראל.9.עשרת הדברות הם הבסיס המוסרי של תנועת ברית עולם.","ת~ד 296 קיבוץ אפיקים מיקוד 1514800","oferelectric@gmail.com","",
"גימלאי ישראל לכנסת - גיל","59-900029-6","מטרות המפלגה :1.לקדם ולהעלות את נושא הגימלאיות והגימלאים אל סדר העדיפויות הלאומי של מדינת ישראל, להבטיח זכויותיהם ומעמדם בחוק ולפעול למען שילובם בחברה ובקהילה.2.לכלול בחוק ביטוח בריאות ממלכתי את האשפוז הסיעודי והשרותים הרפואיים הנדרשים לשמירת בריאותם של הגימלאיות והגימלאים בישראל.3.לפעול להקצאת משאבים ממלכתיים וציבוריים, להקמת דיור מוגן, בתי אבות, בתי חולים סיעודיים ומרכזי יום וכן להוריד את העלות הכספית עבור הנזקקים להם.4.לפעול לחקיקת חוק פנסיה ממלכתית ולהטחת מתן קצבאות זקנה לכל הגימלאים, תוך שמירת ערכן הריאלי של הקצבאותף הפנסיה התקציבית והמצטברת לגימלאים ולשאריהם.","דרך השלום 7 א', תל אביב","rachel@agemlaim.org","",
